t,A,Iuv
7.500000000000000590e-03,8.555325392006942753e-01,5.922753948083601949e-02
1.500000000000000118e-02,8.551644850472294168e-01,5.924865710194618384e-02
2.250000000000000264e-02,8.557389489874467348e-01,5.925761254224668623e-02
3.000000000000000236e-02,8.556591250404387283e-01,5.924085421957085706e-02
3.750000000000000555e-02,8.549919721756500390e-01,5.924760495614843359e-02
4.500000000000000527e-02,8.556572897137165734e-01,5.926273452382345430e-02
5.250000000000000500e-02,8.557393592914482872e-01,5.925288274591340720e-02
6.000000000000000472e-02,8.552183456619699697e-01,5.924498098481883329e-02
6.750000000000000444e-02,8.555239506569678465e-01,5.926582611832589831e-02
7.500000000000001110e-02,8.557752113310003184e-01,5.926263540418486020e-02
8.250000000000000389e-02,8.554067459809611140e-01,5.924047998121430292e-02
9.000000000000001055e-02,8.553422373086606578e-01,5.926668056217614805e-02
9.750000000000000333e-02,8.557688541663049930e-01,5.926990168094610489e-02
1.050000000000000100e-01,8.555580932943699368e-01,5.924709364904862108e-02
1.125000000000000028e-01,8.551119944943049722e-01,5.926536377944167933e-02
1.200000000000000094e-01,8.557192805314570716e-01,5.927477621538732727e-02
1.275000000000000022e-01,8.556708397217746009e-01,5.925849839422091953e-02
1.350000000000000089e-01,8.550335970762737992e-01,5.926209717563706014e-02
1.425000000000000155e-01,8.556245744059985947e-01,5.927750184575625997e-02
1.500000000000000222e-01,8.557430799093216356e-01,5.926809862986520683e-02
1.575000000000000011e-01,8.552557420091299045e-01,5.925717799106562655e-02
1.650000000000000078e-01,8.554829441861604433e-01,5.927838304906161287e-02
1.725000000000000144e-01,8.557731739900759083e-01,5.927580490270883268e-02
1.800000000000000211e-01,8.554400324821449519e-01,5.925117624161995583e-02
1.875000000000000278e-01,8.552928039467717625e-01,5.927769256629169398e-02
1.950000000000000067e-01,8.557596950920841605e-01,5.928177271459048742e-02
2.025000000000000133e-01,8.555851938665643974e-01,5.925989690763173307e-02
2.100000000000000200e-01,8.550526643385361059e-01,5.927559856728169263e-02
2.175000000000000266e-01,8.557013029287995343e-01,5.928610156018419841e-02
2.250000000000000056e-01,8.556900254521004889e-01,5.927114638568690280e-02
2.325000000000000122e-01,8.550861604327897325e-01,5.927216717222694858e-02
2.400000000000000189e-01,8.555966709758833222e-01,5.928881748232644328e-02
2.475000000000000255e-01,8.557533352622807010e-01,5.928091285880601052e-02
2.550000000000000044e-01,8.553002622919677611e-01,5.926741580780497953e-02
2.625000000000000111e-01,8.554444548654193126e-01,5.928992140162891306e-02
2.700000000000000178e-01,8.557739129360972807e-01,5.928889044315446138e-02
2.775000000000000244e-01,8.554759973922544392e-01,5.926345892990233372e-02
2.850000000000000311e-01,8.552432800331764007e-01,5.928942669948025074e-02
2.925000000000000377e-01,8.557505192366791080e-01,5.929501611260799138e-02
3.000000000000000444e-01,8.556122524358087400e-01,5.927469189127791693e-02
3.075000000000000511e-01,8.549917369411300649e-01,5.928736991269751427e-02
3.150000000000000022e-01,8.556818819222861139e-01,5.929930270716552571e-02
3.225000000000000089e-01,8.557078833162775622e-01,5.928595936614871470e-02
3.300000000000000155e-01,8.551374898351913334e-01,5.928380632186171229e-02
3.375000000000000222e-01,8.555666939065985632e-01,5.930179797663492902e-02
3.450000000000000289e-01,8.557617134620041366e-01,5.929545460451934868e-02
3.525000000000000355e-01,8.553430801341067591e-01,5.927880252600607053e-02
3.600000000000000422e-01,8.554036122237581585e-01,5.930256628388080181e-02
3.675000000000000488e-01,8.557725328308830592e-01,5.930302833594375267e-02
3.750000000000000555e-01,8.555100537000586147e-01,5.927809199752855779e-02
3.825000000000000067e-01,8.551912572807209845e-01,5.930167941322862790e-02
3.900000000000000133e-01,8.557390971334708496e-01,5.930869272646079743e-02
3.975000000000000200e-01,8.556372922628471267e-01,5.928988322256421861e-02
