t,xcm,xcm_unwrapped,A,Iuv_global,Iuv_local
7.500000000000000590e-03,6.330603819925072173e+01,6.330603819925072173e+01,8.356612242092966714e-01,5.547242019865436524e-02,5.550737560560552175e-02
1.500000000000000118e-02,6.389019824806367609e+01,6.389019824806367609e+01,8.043908851026339013e-01,5.395882919697204266e-02,5.399227183513918144e-02
2.250000000000000264e-02,6.449649654550923117e+01,6.449649654550923117e+01,7.685912555862208784e-01,5.206719534410246542e-02,5.209854454689324954e-02
3.000000000000000236e-02,6.512360778244709536e+01,6.512360778244709536e+01,7.337395303711279348e-01,5.003668273079200923e-02,5.006556910657537079e-02
3.750000000000000555e-02,6.576881259544322234e+01,6.576881259544322234e+01,7.036051439435235810e-01,4.808653015836184680e-02,4.811273792262059368e-02
4.500000000000000527e-02,6.642831098359104658e+01,6.642831098359104658e+01,6.824547875560161847e-01,4.638156854442695293e-02,4.640523721016368008e-02
5.250000000000000500e-02,6.709825480679094767e+01,6.709825480679094767e+01,6.725995743325108300e-01,4.500900499783977438e-02,4.503026276963113805e-02
6.000000000000000472e-02,6.777578925602803395e+01,6.777578925602803395e+01,6.723346211335650136e-01,4.398809612526238116e-02,4.400721142547453502e-02
6.750000000000000444e-02,6.845905571637797493e+01,6.845905571637797493e+01,6.786589578781839771e-01,4.330132352481690788e-02,4.331858291469920658e-02
7.500000000000001110e-02,6.914710876765262526e+01,6.914710876765262526e+01,6.891401296966146450e-01,4.291218052981574105e-02,4.292790609481012681e-02
8.250000000000000389e-02,6.983997782158144219e+01,6.983997782158144219e+01,7.015988294411461546e-01,4.277459692084794457e-02,4.278898286250264194e-02
9.000000000000001055e-02,7.053797583922982994e+01,7.053797583922982994e+01,7.143669189600618807e-01,4.284534889650074008e-02,4.285860764552142099e-02
9.750000000000000333e-02,7.124136529488271208e+01,7.124136529488271208e+01,7.266251335026189251e-01,4.308643718874369255e-02,4.309874728675343325e-02
1.050000000000000100e-01,7.195087632598156802e+01,7.195087632598156802e+01,7.378397505774824117e-01,4.346099554592474518e-02,4.347246726457908855e-02
1.125000000000000028e-01,7.266708340873356065e+01,7.266708340873356065e+01,7.475637867308850826e-01,4.393906928408648077e-02,4.394986300126125373e-02
1.200000000000000094e-01,7.339032958423497632e+01,7.339032958423497632e+01,7.557080409764824758e-01,4.449680813157906589e-02,4.450702313809238447e-02
1.275000000000000022e-01,7.412124909498865577e+01,7.412124909498865577e+01,7.624445775097172806e-01,4.511182321950745616e-02,4.512154058630812176e-02
1.350000000000000089e-01,7.486025227873165022e+01,7.486025227873165022e+01,7.678942729725475314e-01,4.576662432122679397e-02,4.577587804223473555e-02
1.425000000000000155e-01,7.560762699043459634e+01,7.560762699043459634e+01,7.722487911361316515e-01,4.644654751110460777e-02,4.645542519407701992e-02
1.500000000000000222e-01,7.636371004025585307e+01,7.636371004025585307e+01,7.756306155815797521e-01,4.713874882837562619e-02,4.714726431439317939e-02
1.575000000000000011e-01,7.712880877650246703e+01,7.712880877650246703e+01,7.781590287883782819e-01,4.783239370211549157e-02,4.784061560799778012e-02
1.650000000000000078e-01,7.790321998325157438e+01,7.790321998325157438e+01,7.801794923663551984e-01,4.851811975850756770e-02,4.852604936239994504e-02
1.725000000000000144e-01,7.868690005731282611e+01,7.868690005731282611e+01,7.815923111761409192e-01,4.918908010143069331e-02,4.919674382489545167e-02
1.800000000000000211e-01,7.947995310920531153e+01,7.947995310920531153e+01,7.827562896391359049e-01,4.983867792955153087e-02,4.984609766135880693e-02
1.875000000000000278e-01,4.823074521399531855e-01,8.028230745213996045e+01,7.835667341997695212e-01,5.046190884640169849e-02,5.046910278089119378e-02
1.950000000000000067e-01,1.293833585892769200e+00,1.608938335858927928e+02,7.841201224234857214e-01,5.105423128668400840e-02,5.106121493716900966e-02
2.025000000000000133e-01,2.114269164179688687e+00,2.415142691641797228e+02,7.845725179978353392e-01,5.161223017145044611e-02,5.161901616405355220e-02
2.100000000000000200e-01,2.943303231972972167e+00,3.221433032319729932e+02,7.849079458235193041e-01,5.213310822696858027e-02,5.213970667482266397e-02
2.175000000000000266e-01,3.780539740498431112e+00,4.027805397404985115e+02,7.851354605824379940e-01,5.261474646965888513e-02,5.262113695801809432e-02
2.250000000000000056e-01,4.625364045918250788e+00,4.834253640459183430e+02,7.852844735889157324e-01,5.305656005147815768e-02,5.306277837069218323e-02
2.325000000000000122e-01,5.477361812581657219e+00,5.640773618125817848e+02,7.853758533224008964e-01,5.345724971112576079e-02,5.346327213184703248e-02
2.400000000000000189e-01,6.335825667038570863e+00,6.447358256670386254e+02,7.854441679761153816e-01,5.381748342111251221e-02,5.382334247521303183e-02
2.475000000000000255e-01,7.200087274863669506e+00,7.254000872748637221e+02,7.855299145144786221e-01,5.413828899783739573e-02,5.414395920098150072e-02
2.550000000000000044e-01,8.069489051748627517e+00,8.060694890517486328e+02,7.855885266694719871e-01,5.442084755537698187e-02,5.442633049120854105e-02
2.625000000000000111e-01,8.943082129763942234e+00,8.867430821297639341e+02,7.856257080697963691e-01,5.466812939180037273e-02,5.467345503520967820e-02
2.700000000000000178e-01,9.820238767789451373e+00,9.674202387677893284e+02,7.856454324956849700e-01,5.488250655583410548e-02,5.488764671637186982e-02
2.775000000000000244e-01,1.070022862347004100e+01,1.048100228623470002e+03,7.856504616810193742e-01,5.506684796688394307e-02,5.507180227020275209e-02
2.850000000000000311e-01,1.158230067802796270e+01,1.128782300678027696e+03,7.856427098731476599e-01,5.522490816722091383e-02,5.522967679364225446e-02
2.925000000000000377e-01,1.246592005790753888e+01,1.209465920057907397e+03,7.856234992978162746e-01,5.535945756601956536e-02,5.536403952337617951e-02
3.000000000000000444e-01,1.335058568690802794e+01,1.290150585686907789e+03,7.856546975977212188e-01,5.547390479057937723e-02,5.547829962842547313e-02
3.075000000000000511e-01,1.423599591685618293e+01,1.370835995916855836e+03,7.856779392541032303e-01,5.557049022355733253e-02,5.557472615126674009e-02
3.150000000000000022e-01,1.512188090195165380e+01,1.451521880901951363e+03,7.856919983856504031e-01,5.565166960475732838e-02,5.565571696892810533e-02
3.225000000000000089e-01,1.600805741820556705e+01,1.532208057418205044e+03,7.856971957110788773e-01,5.571966142716419657e-02,5.572351963025869853e-02
3.300000000000000155e-01,1.689444261974416861e+01,1.612894442619743813e+03,7.856937391332210474e-01,5.577606283214470162e-02,5.577973133990769133e-02
3.375000000000000222e-01,1.778095052045047098e+01,1.693580950520449960e+03,7.856817572119114690e-01,5.582257079264510424e-02,5.582604927084097030e-02
3.450000000000000289e-01,1.866754306026638943e+01,1.774267543060265780e+03,7.856613226029477426e-01,5.586066510299726728e-02,5.586395325144338786e-02
3.525000000000000355e-01,1.955418392448993004e+01,1.854954183924489371e+03,7.856502388614183818e-01,5.589176775695384874e-02,5.589486538826797524e-02
3.600000000000000422e-01,2.044087077858623402e+01,1.935640870778585622e+03,7.856750918326856903e-01,5.591706892924552808e-02,5.592000524386255000e-02
3.675000000000000488e-01,2.132761008073604359e+01,2.016327610080735440e+03,7.856919819105627756e-01,5.593736821777967050e-02,5.594011386787250961e-02
3.750000000000000555e-01,2.221440279038599996e+01,2.097014402790385247e+03,7.857008858949851016e-01,5.595344566960500088e-02,5.595600100679386235e-02
3.825000000000000067e-01,2.310124621103362941e+01,2.177701246211032867e+03,7.857017692685273058e-01,5.596604750346478169e-02,5.596841229972448345e-02
3.900000000000000133e-01,2.398813547027802429e+01,2.258388135470277575e+03,7.856945894450756418e-01,5.597582597589830650e-02,5.597800081453818688e-02
3.975000000000000200e-01,2.487505861291709053e+01,2.339075058612917019e+03,7.856792980749049971e-01,5.598339044092397881e-02,5.598537528623351994e-02
4.050000000000000266e-01,2.576199874456338534e+01,2.419761998744563243e+03,7.856558426835765774e-01,5.598927393594665958e-02,5.599106903078191616e-02
4.125000000000000333e-01,2.664892426360199096e+01,2.500448924263602294e+03,7.856592938807729354e-01,5.599393732737308754e-02,5.599557231474418945e-02
4.200000000000000400e-01,2.753584931305957184e+01,2.581135849313060135e+03,7.856815479802217173e-01,5.599776800112719888e-02,5.599921369911510516e-02
4.275000000000000466e-01,2.842279730798408721e+01,2.661822797307984729e+03,7.856959460432623166e-01,5.600068586645318147e-02,5.600194282162958281e-02
4.350000000000000533e-01,2.930977021362524226e+01,2.742509770213625870e+03,7.857024290898657615e-01,5.600285822378410494e-02,5.600392688962173293e-02
4.425000000000000600e-01,3.019676634426719630e+01,2.823196766344268326e+03,7.857009371555147004e-01,5.600443565299693255e-02,5.600531671923004301e-02
4.500000000000000111e-01,3.108378162127756283e+01,2.903883781621278558e+03,7.856914095411249299e-01,5.600555787511594247e-02,5.600625363240875620e-02
4.575000000000000178e-01,3.197080461859162881e+01,2.984570804618592774e+03,7.856737849951930253e-01,5.600640013063640232e-02,5.600691549743477826e-02
4.650000000000000244e-01,3.285782616305392878e+01,3.065257826163055597e+03,7.856480018477762783e-01,5.600706618131402748e-02,5.600741170551629122e-02
4.725000000000000311e-01,3.374480716651793699e+01,3.145944807166519695e+03,7.856663596922330850e-01,5.600780543171435255e-02,5.600802319411006536e-02
4.800000000000000377e-01,3.463178468701451607e+01,3.226631784687016534e+03,7.856864089442554544e-01,5.600855302744446595e-02,5.600864893829232694e-02
4.875000000000000444e-01,3.551877584917253472e+01,3.307318775849174472e+03,7.856985943029602959e-01,5.600911478892393880e-02,5.600913429315861752e-02
4.950000000000000511e-01,3.640578402906915301e+01,3.388005784029071492e+03,7.857028540784762871e-01,5.600949669811419729e-02,5.600949669811418341e-02
5.025000000000000577e-01,3.729280905735723195e+01,3.468692809057359682e+03,7.856991263639375722e-01,5.600972049997477581e-02,5.600972049997477581e-02
5.100000000000000089e-01,3.817984667054931691e+01,3.549379846670552070e+03,7.856873490662262816e-01,5.600983930998065796e-02,5.600983930998063021e-02
5.175000000000000711e-01,3.906688554421555892e+01,3.630066885544218167e+03,7.856674599318507202e-01,5.600994952568534579e-02,5.600994952568535967e-02
5.250000000000000222e-01,3.995391669620337183e+01,3.710753916696206488e+03,7.856470305795778541e-01,5.601008215615803365e-02,5.601008215615804753e-02
5.325000000000000844e-01,4.084090264332544251e+01,3.791440902643328627e+03,7.856727188514246452e-01,5.601049219805397106e-02,5.601049219805397106e-02
5.400000000000000355e-01,4.172789527924034303e+01,3.872127895279243603e+03,7.856905884877966040e-01,5.601091147911373830e-02,5.601091147911374524e-02
5.475000000000000977e-01,4.261490219475093255e+01,3.952814902194754268e+03,7.857005775375421885e-01,5.601122125413820346e-02,5.601122125413819652e-02
5.550000000000000488e-01,4.350192504863012033e+01,4.033501925048633893e+03,7.857026232147170663e-01,5.601142245475982523e-02,5.601142245475982523e-02
